MIDI File: Carly Rae Jepsen - Call Me Maybe.mid
Tempo: 119 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 5
Consolidated Instrument Tracks: 4

Instrument: Drum Kit / Percussion
  Note: C2 (Bass Drum 1), Time: 15.12s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 15.12s, Duration: 0.13s, Velocity: 0.39
  Note: B2 (Low-Mid Tom), Time: 15.12s, Duration: 0.06s, Velocity: 0.39
  Note: A2 (Low Tom), Time: 15.18s, Duration: 0.06s, Velocity: 0.39
  Note: A2 (Low Tom), Time: 15.24s, Duration: 0.06s, Velocity: 0.39
  Note: G2 (High Floor Tom), Time: 15.30s, Duration: 0.06s, Velocity: 0.39
  Note: A2 (Low Tom), Time: 15.30s, Duration: 0.06s, Velocity: 0.39
  Note: G2 (High Floor Tom), Time: 15.37s, Duration: 0.06s, Velocity: 0.39
  Note: F2 (Low Floor Tom), Time: 15.43s, Duration: 0.06s, Velocity: 0.39
  Note: G2 (High Floor Tom), Time: 15.43s, Duration: 0.06s, Velocity: 0.39
  Note: F2 (Low Floor Tom), Time: 15.49s, Duration: 0.06s, Velocity: 0.39
  Note: F2 (Low Floor Tom), Time: 15.56s, Duration: 0.06s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 15.62s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 15.62s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 15.87s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 15.87s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 16.12s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 16.12s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 16.38s, Duration: 0.13s, Velocity: 0.39
