MIDI File: FlyMeToTheMoon.mid
Tempo: 128 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 19
Consolidated Instrument Tracks: 7

Instrument: Alto Sax
  (No notes for this instrument)

Instrument: Drum Kit / Percussion
  Note: F#2 (Closed Hi-Hat), Time: 15.81s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 15.94s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 15.94s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 16.41s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 16.41s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 16.75s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 16.88s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 16.88s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 17.34s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 17.34s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 17.68s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 17.81s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 17.81s, Duration: 0.10s, Velocity: 0.63
  Note: B1 (Acoustic Bass Drum), Time: 18.28s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 18.28s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 18.62s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 18.75s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 18.75s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 19.22s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 19.22s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 19.55s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 19.69s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 19.69s, Duration: 0.10s, Velocity: 0.63
  Note: B1 (Acoustic Bass Drum), Time: 20.16s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 20.16s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 20.49s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 20.63s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 20.63s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 21.09s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 21.09s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 21.43s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 21.56s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 21.56s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 22.03s, Duration: 0.10s, Velocity: 0.67
  Note: F#2 (Closed Hi-Hat), Time: 22.03s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 22.37s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 22.50s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 22.50s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 22.97s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 22.97s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 23.31s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 23.44s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 23.44s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 23.91s, Duration: 0.10s, Velocity: 0.67
  Note: F#2 (Closed Hi-Hat), Time: 23.91s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 24.25s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 24.38s, Duration: 0.10s, Velocity: 0.47
  Note: A#2 (Open Hi-Hat), Time: 24.38s, Duration: 0.10s, Velocity: 0.43
  Note: C#2 (Side Stick), Time: 24.84s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 24.84s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 25.18s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 25.31s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 25.31s, Duration: 0.10s, Velocity: 0.63
