MIDI File: Furelise.mid
Tempo: 120 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 1
Consolidated Instrument Tracks: 1

Instrument: Piano (Consolidated)
  Note: B4, Time: 19.22s, Duration: 0.24s, Velocity: 0.79
  Note: D5, Time: 19.48s, Duration: 0.21s, Velocity: 0.79
  Note: C5, Time: 19.69s, Duration: 0.27s, Velocity: 0.79
  Note: A4, Time: 19.98s, Duration: 0.49s, Velocity: 0.79
  Note: A2, Time: 19.98s, Duration: 0.23s, Velocity: 0.79
  Note: E3, Time: 20.21s, Duration: 0.28s, Velocity: 0.79
  Note: A3, Time: 20.46s, Duration: 0.25s, Velocity: 0.79
  Note: C4, Time: 20.73s, Duration: 0.24s, Velocity: 0.79
  Note: E4, Time: 20.98s, Duration: 0.24s, Velocity: 0.79
  Note: A4, Time: 21.23s, Duration: 0.23s, Velocity: 0.79
  Note: E2, Time: 21.46s, Duration: 0.25s, Velocity: 0.79
  Note: B4, Time: 21.47s, Duration: 0.49s, Velocity: 0.79
  Note: E3, Time: 21.72s, Duration: 0.24s, Velocity: 0.79
  Note: G#3, Time: 21.98s, Duration: 0.25s, Velocity: 0.79
  Note: E4, Time: 22.23s, Duration: 0.24s, Velocity: 0.79
  Note: C5, Time: 22.48s, Duration: 0.26s, Velocity: 0.79
  Note: B4, Time: 22.73s, Duration: 0.22s, Velocity: 0.79
  Note: A2, Time: 22.97s, Duration: 0.24s, Velocity: 0.79
  Note: A4, Time: 22.97s, Duration: 0.49s, Velocity: 0.79
  Note: E3, Time: 23.20s, Duration: 0.25s, Velocity: 0.79
  Note: A3, Time: 23.47s, Duration: 0.26s, Velocity: 0.79
  Note: B4, Time: 23.75s, Duration: 0.23s, Velocity: 0.79
  Note: C5, Time: 24.00s, Duration: 0.26s, Velocity: 0.79
  Note: D5, Time: 24.27s, Duration: 0.23s, Velocity: 0.79
  Note: E5, Time: 24.50s, Duration: 0.50s, Velocity: 0.79
  Note: C3, Time: 24.51s, Duration: 0.23s, Velocity: 0.79
  Note: G3, Time: 24.72s, Duration: 0.25s, Velocity: 0.79
  Note: C4, Time: 24.99s, Duration: 0.24s, Velocity: 0.79
  Note: G4, Time: 25.25s, Duration: 0.24s, Velocity: 0.79
  Note: F5, Time: 25.51s, Duration: 0.22s, Velocity: 0.79
  Note: E5, Time: 25.74s, Duration: 0.25s, Velocity: 0.79
  Note: G2, Time: 25.99s, Duration: 0.27s, Velocity: 0.79
  Note: D5, Time: 26.01s, Duration: 0.50s, Velocity: 0.79
  Note: G3, Time: 26.23s, Duration: 0.26s, Velocity: 0.79
  Note: B3, Time: 26.49s, Duration: 0.27s, Velocity: 0.79
  Note: F4, Time: 26.77s, Duration: 0.22s, Velocity: 0.79
  Note: E5, Time: 26.99s, Duration: 0.23s, Velocity: 0.79
  Note: D5, Time: 27.23s, Duration: 0.26s, Velocity: 0.79
  Note: A2, Time: 27.51s, Duration: 0.27s, Velocity: 0.79
  Note: C5, Time: 27.51s, Duration: 0.48s, Velocity: 0.79
  Note: E3, Time: 27.79s, Duration: 0.21s, Velocity: 0.79
  Note: A3, Time: 27.99s, Duration: 0.27s, Velocity: 0.79
  Note: E4, Time: 28.24s, Duration: 0.26s, Velocity: 0.79
  Note: D5, Time: 28.49s, Duration: 0.26s, Velocity: 0.79
  Note: C5, Time: 28.76s, Duration: 0.24s, Velocity: 0.79
  Note: E2, Time: 28.98s, Duration: 0.27s, Velocity: 0.79
  Note: B4, Time: 28.99s, Duration: 0.50s, Velocity: 0.79
  Note: E3, Time: 29.25s, Duration: 0.24s, Velocity: 0.79
  Note: E4, Time: 29.48s, Duration: 0.24s, Velocity: 0.79
  Note: E4, Time: 29.72s, Duration: 0.26s, Velocity: 0.79
  Note: E5, Time: 29.98s, Duration: 0.26s, Velocity: 0.79
  Note: E4, Time: 30.23s, Duration: 0.25s, Velocity: 0.79
  Note: E5, Time: 30.50s, Duration: 0.24s, Velocity: 0.79
  Note: E5, Time: 30.74s, Duration: 0.24s, Velocity: 0.79
  Note: C6, Time: 30.99s, Duration: 0.24s, Velocity: 0.79
  Note: D#5, Time: 31.50s, Duration: 0.26s, Velocity: 0.79
  Note: E5, Time: 31.76s, Duration: 0.22s, Velocity: 0.79
  Note: D#5, Time: 32.00s, Duration: 0.21s, Velocity: 0.79
  Note: E5, Time: 32.21s, Duration: 0.28s, Velocity: 0.79
  Note: D#5, Time: 32.50s, Duration: 0.28s, Velocity: 0.79
  Note: E5, Time: 32.77s, Duration: 0.24s, Velocity: 0.79
  Note: D#5, Time: 32.99s, Duration: 0.26s, Velocity: 0.79
  Note: E5, Time: 33.22s, Duration: 0.27s, Velocity: 0.79
  Note: D#5, Time: 33.50s, Duration: 0.25s, Velocity: 0.79
  Note: E5, Time: 33.75s, Duration: 0.24s, Velocity: 0.79
  Note: D#5, Time: 33.99s, Duration: 0.26s, Velocity: 0.79
  Note: E5, Time: 34.24s, Duration: 0.26s, Velocity: 0.79
  Note: B4, Time: 34.52s, Duration: 0.24s, Velocity: 0.79
  Note: D5, Time: 34.75s, Duration: 0.25s, Velocity: 0.79
  Note: C5, Time: 35.00s, Duration: 0.26s, Velocity: 0.79
  Note: A4, Time: 35.26s, Duration: 0.46s, Velocity: 0.79
  Note: A2, Time: 35.27s, Duration: 0.22s, Velocity: 0.79
  Note: E3, Time: 35.49s, Duration: 0.23s, Velocity: 0.79
  Note: A3, Time: 35.71s, Duration: 0.33s, Velocity: 0.79
  Note: C4, Time: 36.00s, Duration: 0.23s, Velocity: 0.79
  Note: E4, Time: 36.21s, Duration: 0.29s, Velocity: 0.79
  Note: A4, Time: 36.52s, Duration: 0.23s, Velocity: 0.79
  Note: E2, Time: 36.71s, Duration: 0.27s, Velocity: 0.79
  Note: B4, Time: 36.74s, Duration: 0.55s, Velocity: 0.79
  Note: E3, Time: 37.00s, Duration: 0.28s, Velocity: 0.79
  Note: G#3, Time: 37.30s, Duration: 0.18s, Velocity: 0.79
  Note: E4, Time: 37.50s, Duration: 0.24s, Velocity: 0.79
  Note: G#4, Time: 37.74s, Duration: 0.24s, Velocity: 0.79
  Note: B4, Time: 38.00s, Duration: 0.23s, Velocity: 0.79
  Note: A2, Time: 38.20s, Duration: 0.30s, Velocity: 0.79
  Note: C5, Time: 38.23s, Duration: 0.49s, Velocity: 0.79
  Note: E3, Time: 38.51s, Duration: 0.24s, Velocity: 0.79
  Note: A3, Time: 38.75s, Duration: 0.24s, Velocity: 0.79
  Note: E4, Time: 38.99s, Duration: 0.27s, Velocity: 0.79
  Note: E5, Time: 39.25s, Duration: 0.25s, Velocity: 0.79
  Note: D#5, Time: 39.50s, Duration: 0.25s, Velocity: 0.79
  Note: E5, Time: 39.75s, Duration: 0.26s, Velocity: 0.79
  Note: D#5, Time: 40.02s, Duration: 0.24s, Velocity: 0.79
  Note: E5, Time: 40.25s, Duration: 0.26s, Velocity: 0.79
  Note: B4, Time: 40.50s, Duration: 0.24s, Velocity: 0.79
  Note: D5, Time: 40.76s, Duration: 0.21s, Velocity: 0.79
  Note: C5, Time: 40.98s, Duration: 0.27s, Velocity: 0.79
  Note: A4, Time: 41.26s, Duration: 0.49s, Velocity: 0.79
  Note: A2, Time: 41.27s, Duration: 0.23s, Velocity: 0.79
  Note: E3, Time: 41.49s, Duration: 0.28s, Velocity: 0.79
  Note: A3, Time: 41.74s, Duration: 0.25s, Velocity: 0.79
  Note: C4, Time: 42.02s, Duration: 0.24s, Velocity: 0.79
  Note: E4, Time: 42.26s, Duration: 0.24s, Velocity: 0.79
  Note: A4, Time: 42.51s, Duration: 0.23s, Velocity: 0.79
  Note: E2, Time: 42.74s, Duration: 0.25s, Velocity: 0.79
  Note: B4, Time: 42.75s, Duration: 0.49s, Velocity: 0.79
  Note: E3, Time: 43.01s, Duration: 0.24s, Velocity: 0.79
  Note: G#3, Time: 43.26s, Duration: 0.25s, Velocity: 0.79
  Note: E4, Time: 43.51s, Duration: 0.24s, Velocity: 0.79
  Note: C5, Time: 43.74s, Duration: 0.23s, Velocity: 0.79
  Note: B4, Time: 43.99s, Duration: 0.26s, Velocity: 0.79
  Note: A1, Time: 44.22s, Duration: 1.77s, Velocity: 0.79
  Note: A2, Time: 44.24s, Duration: 1.74s, Velocity: 0.79
  Note: A4, Time: 44.26s, Duration: 1.73s, Velocity: 0.79

--------------------------------------------------------------------------------------


MIDI File: Pachelbel_ Canon in D Major.mid
Tempo: 115 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 1
Consolidated Instrument Tracks: 1

Instrument: Piano (Consolidated)
  Note: D3, Time: 0.00s, Duration: 0.52s, Velocity: 0.39
  Note: F#5, Time: 0.00s, Duration: 2.09s, Velocity: 0.39
  Note: A3, Time: 0.52s, Duration: 0.52s, Velocity: 0.39
  Note: D4, Time: 1.04s, Duration: 0.52s, Velocity: 0.39
  Note: F#4, Time: 1.57s, Duration: 0.52s, Velocity: 0.39
  Note: A2, Time: 2.09s, Duration: 0.52s, Velocity: 0.39
  Note: E5, Time: 2.09s, Duration: 2.09s, Velocity: 0.39
  Note: E3, Time: 2.61s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 3.13s, Duration: 0.52s, Velocity: 0.39
  Note: C#4, Time: 3.65s, Duration: 0.52s, Velocity: 0.39
  Note: B2, Time: 4.17s, Duration: 0.52s, Velocity: 0.39
  Note: D5, Time: 4.17s, Duration: 2.09s, Velocity: 0.39
  Note: F#3, Time: 4.70s, Duration: 0.52s, Velocity: 0.39
  Note: B3, Time: 5.22s, Duration: 0.52s, Velocity: 0.39
  Note: D4, Time: 5.74s, Duration: 0.52s, Velocity: 0.39
  Note: F#2, Time: 6.26s, Duration: 0.52s, Velocity: 0.39
  Note: C#5, Time: 6.26s, Duration: 2.09s, Velocity: 0.39
  Note: C#3, Time: 6.78s, Duration: 0.52s, Velocity: 0.39
  Note: F#3, Time: 7.30s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 7.83s, Duration: 0.52s, Velocity: 0.39
  Note: G2, Time: 8.35s, Duration: 0.52s, Velocity: 0.39
  Note: B4, Time: 8.35s, Duration: 2.09s, Velocity: 0.39
  Note: D3, Time: 8.87s, Duration: 0.52s, Velocity: 0.39
  Note: G3, Time: 9.39s, Duration: 0.52s, Velocity: 0.39
  Note: B3, Time: 9.91s, Duration: 0.52s, Velocity: 0.39
  Note: D2, Time: 10.43s, Duration: 0.52s, Velocity: 0.39
  Note: A4, Time: 10.43s, Duration: 2.09s, Velocity: 0.39
  Note: A2, Time: 10.96s, Duration: 0.52s, Velocity: 0.39
  Note: D3, Time: 11.48s, Duration: 0.52s, Velocity: 0.39
  Note: F#3, Time: 12.00s, Duration: 0.52s, Velocity: 0.39
  Note: G2, Time: 12.52s, Duration: 0.52s, Velocity: 0.39
  Note: B4, Time: 12.52s, Duration: 2.09s, Velocity: 0.39
  Note: D3, Time: 13.04s, Duration: 0.52s, Velocity: 0.39
  Note: G3, Time: 13.57s, Duration: 0.52s, Velocity: 0.39
  Note: B3, Time: 14.09s, Duration: 0.52s, Velocity: 0.39
  Note: A2, Time: 14.61s, Duration: 0.52s, Velocity: 0.39
  Note: C#5, Time: 14.61s, Duration: 2.09s, Velocity: 0.39
  Note: E3, Time: 15.13s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 15.65s, Duration: 0.52s, Velocity: 0.39
  Note: C#4, Time: 16.17s, Duration: 0.52s, Velocity: 0.39
  Note: D3, Time: 16.70s, Duration: 0.52s, Velocity: 0.39
  Note: D5, Time: 16.70s, Duration: 2.09s, Velocity: 0.39
  Note: F#5, Time: 16.70s, Duration: 2.09s, Velocity: 0.39
  Note: A3, Time: 17.22s, Duration: 0.52s, Velocity: 0.39
  Note: D4, Time: 17.74s, Duration: 0.52s, Velocity: 0.39
  Note: F#4, Time: 18.26s, Duration: 0.52s, Velocity: 0.39
  Note: A2, Time: 18.78s, Duration: 0.52s, Velocity: 0.39
  Note: C#5, Time: 18.78s, Duration: 2.09s, Velocity: 0.39
  Note: E5, Time: 18.78s, Duration: 2.09s, Velocity: 0.39
  Note: E3, Time: 19.30s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 19.83s, Duration: 0.52s, Velocity: 0.39
  Note: C#4, Time: 20.35s, Duration: 0.52s, Velocity: 0.39
  Note: B2, Time: 20.87s, Duration: 0.52s, Velocity: 0.39
  Note: B4, Time: 20.87s, Duration: 2.09s, Velocity: 0.39
  Note: D5, Time: 20.87s, Duration: 2.09s, Velocity: 0.39
  Note: F#3, Time: 21.39s, Duration: 0.52s, Velocity: 0.39
  Note: B3, Time: 21.91s, Duration: 0.52s, Velocity: 0.39
  Note: D4, Time: 22.43s, Duration: 0.52s, Velocity: 0.39
  Note: F#2, Time: 22.96s, Duration: 0.52s, Velocity: 0.39
  Note: A4, Time: 22.96s, Duration: 2.09s, Velocity: 0.39
  Note: C#5, Time: 22.96s, Duration: 2.09s, Velocity: 0.39
  Note: C#3, Time: 23.48s, Duration: 0.52s, Velocity: 0.39
  Note: F#3, Time: 24.00s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 24.52s, Duration: 0.52s, Velocity: 0.39
  Note: G2, Time: 25.04s, Duration: 0.52s, Velocity: 0.39
  Note: G4, Time: 25.04s, Duration: 2.09s, Velocity: 0.39
  Note: B4, Time: 25.04s, Duration: 2.09s, Velocity: 0.39
  Note: D3, Time: 25.57s, Duration: 0.52s, Velocity: 0.39
  Note: G3, Time: 26.09s, Duration: 0.52s, Velocity: 0.39
  Note: B3, Time: 26.61s, Duration: 0.52s, Velocity: 0.39
  Note: D2, Time: 27.13s, Duration: 0.52s, Velocity: 0.39
  Note: F#4, Time: 27.13s, Duration: 2.09s, Velocity: 0.39
  Note: A4, Time: 27.13s, Duration: 2.09s, Velocity: 0.39
  Note: A2, Time: 27.65s, Duration: 0.52s, Velocity: 0.39
  Note: D3, Time: 28.17s, Duration: 0.52s, Velocity: 0.39
  Note: F#3, Time: 28.70s, Duration: 0.52s, Velocity: 0.39
  Note: G2, Time: 29.22s, Duration: 0.52s, Velocity: 0.39
  Note: G4, Time: 29.22s, Duration: 2.09s, Velocity: 0.39
  Note: B4, Time: 29.22s, Duration: 2.09s, Velocity: 0.39
  Note: D3, Time: 29.74s, Duration: 0.52s, Velocity: 0.39
  Note: G3, Time: 30.26s, Duration: 0.52s, Velocity: 0.39
  Note: B3, Time: 30.78s, Duration: 0.52s, Velocity: 0.39
  Note: A2, Time: 31.30s, Duration: 0.52s, Velocity: 0.39
  Note: A4, Time: 31.30s, Duration: 2.09s, Velocity: 0.39
  Note: C#5, Time: 31.30s, Duration: 2.09s, Velocity: 0.39
  Note: E3, Time: 31.83s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 32.35s, Duration: 0.52s, Velocity: 0.39
  Note: C#4, Time: 32.87s, Duration: 0.52s, Velocity: 0.39
  Note: D3, Time: 33.39s, Duration: 1.04s, Velocity: 0.39
  Note: D5, Time: 33.39s, Duration: 0.52s, Velocity: 0.39
  Note: F#5, Time: 33.39s, Duration: 1.57s, Velocity: 0.39
  Note: A3, Time: 33.91s, Duration: 0.52s, Velocity: 0.39
  Note: C#5, Time: 33.91s, Duration: 0.52s, Velocity: 0.39
  Note: D4, Time: 34.43s, Duration: 0.52s, Velocity: 0.39
  Note: D5, Time: 34.43s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 34.96s, Duration: 0.52s, Velocity: 0.39
  Note: F#4, Time: 34.96s, Duration: 0.52s, Velocity: 0.39
  Note: A2, Time: 35.48s, Duration: 0.52s, Velocity: 0.39
  Note: E4, Time: 35.48s, Duration: 0.52s, Velocity: 0.39
  Note: E5, Time: 35.48s, Duration: 2.09s, Velocity: 0.39
  Note: E3, Time: 36.00s, Duration: 0.52s, Velocity: 0.39
  Note: A4, Time: 36.00s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 36.52s, Duration: 0.52s, Velocity: 0.39
  Note: G4, Time: 36.52s, Duration: 0.52s, Velocity: 0.39
  Note: E3, Time: 37.04s, Duration: 0.52s, Velocity: 0.39
  Note: A4, Time: 37.04s, Duration: 0.52s, Velocity: 0.39
  Note: B2, Time: 37.57s, Duration: 0.52s, Velocity: 0.39
  Note: F#4, Time: 37.57s, Duration: 0.52s, Velocity: 0.39
  Note: D5, Time: 37.57s, Duration: 0.52s, Velocity: 0.39
  Note: F#3, Time: 38.09s, Duration: 0.52s, Velocity: 0.39
  Note: D5, Time: 38.09s, Duration: 0.52s, Velocity: 0.39
  Note: B3, Time: 38.61s, Duration: 0.52s, Velocity: 0.39
  Note: C#5, Time: 38.61s, Duration: 0.52s, Velocity: 0.39
  Note: F#3, Time: 39.13s, Duration: 0.52s, Velocity: 0.39
  Note: B4, Time: 39.13s, Duration: 0.52s, Velocity: 0.39
  Note: F#2, Time: 39.65s, Duration: 0.52s, Velocity: 0.39
  Note: A4, Time: 39.65s, Duration: 0.52s, Velocity: 0.39
  Note: C#5, Time: 39.65s, Duration: 0.52s, Velocity: 0.39
  Note: C#3, Time: 40.17s, Duration: 0.52s, Velocity: 0.39
  Note: F#5, Time: 40.17s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 40.70s, Duration: 0.52s, Velocity: 0.39
  Note: C#5, Time: 40.70s, Duration: 0.52s, Velocity: 0.39
  Note: A5, Time: 40.70s, Duration: 0.52s, Velocity: 0.39
  Note: C#3, Time: 41.22s, Duration: 0.52s, Velocity: 0.39
  Note: B5, Time: 41.22s, Duration: 0.52s, Velocity: 0.39
  Note: G2, Time: 41.74s, Duration: 0.52s, Velocity: 0.39
  Note: B4, Time: 41.74s, Duration: 1.57s, Velocity: 0.39
  Note: G5, Time: 41.74s, Duration: 0.52s, Velocity: 0.39
  Note: D3, Time: 42.26s, Duration: 0.52s, Velocity: 0.39
  Note: F#5, Time: 42.26s, Duration: 0.52s, Velocity: 0.39
  Note: B3, Time: 42.78s, Duration: 0.52s, Velocity: 0.39
  Note: E5, Time: 42.78s, Duration: 0.52s, Velocity: 0.39
  Note: D3, Time: 43.30s, Duration: 0.52s, Velocity: 0.39
  Note: G5, Time: 43.30s, Duration: 0.52s, Velocity: 0.39
  Note: D2, Time: 43.83s, Duration: 0.52s, Velocity: 0.39
  Note: A4, Time: 43.83s, Duration: 1.57s, Velocity: 0.39
  Note: F#5, Time: 43.83s, Duration: 0.52s, Velocity: 0.39
  Note: A2, Time: 44.35s, Duration: 0.52s, Velocity: 0.39
  Note: E5, Time: 44.35s, Duration: 0.52s, Velocity: 0.39
  Note: D3, Time: 44.87s, Duration: 0.52s, Velocity: 0.39
  Note: D5, Time: 44.87s, Duration: 0.52s, Velocity: 0.39
  Note: F#3, Time: 45.39s, Duration: 0.52s, Velocity: 0.39
  Note: C#5, Time: 45.39s, Duration: 0.52s, Velocity: 0.39
  Note: G2, Time: 45.91s, Duration: 0.52s, Velocity: 0.39
  Note: G4, Time: 45.91s, Duration: 1.57s, Velocity: 0.39
  Note: B4, Time: 45.91s, Duration: 0.52s, Velocity: 0.39
  Note: D3, Time: 46.43s, Duration: 0.52s, Velocity: 0.39
  Note: A4, Time: 46.43s, Duration: 0.52s, Velocity: 0.39
  Note: G3, Time: 46.96s, Duration: 0.52s, Velocity: 0.39
  Note: B4, Time: 46.96s, Duration: 0.52s, Velocity: 0.39
  Note: B3, Time: 47.48s, Duration: 0.52s, Velocity: 0.39
  Note: D5, Time: 47.48s, Duration: 0.52s, Velocity: 0.39
  Note: G2, Time: 48.00s, Duration: 0.52s, Velocity: 0.39
  Note: E4, Time: 48.00s, Duration: 0.52s, Velocity: 0.39
  Note: D5, Time: 48.00s, Duration: 1.04s, Velocity: 0.39
  Note: E3, Time: 48.52s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 49.04s, Duration: 0.52s, Velocity: 0.39
  Note: E4, Time: 49.04s, Duration: 0.52s, Velocity: 0.39
  Note: C#5, Time: 49.04s, Duration: 0.52s, Velocity: 0.39
  Note: E3, Time: 49.57s, Duration: 0.52s, Velocity: 0.39
  Note: D3, Time: 50.09s, Duration: 0.52s, Velocity: 0.39
  Note: A5, Time: 50.09s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 50.61s, Duration: 0.52s, Velocity: 0.39
  Note: F#5, Time: 50.61s, Duration: 0.26s, Velocity: 0.39
  Note: G5, Time: 50.87s, Duration: 0.26s, Velocity: 0.39
  Note: D4, Time: 51.13s, Duration: 0.52s, Velocity: 0.39
  Note: A5, Time: 51.13s, Duration: 0.52s, Velocity: 0.39
  Note: A3, Time: 51.65s, Duration: 0.52s, Velocity: 0.39
  Note: F#5, Time: 51.65s, Duration: 0.26s, Velocity: 0.39
  Note: G5, Time: 51.91s, Duration: 0.26s, Velocity: 0.39
  Note: A2, Time: 52.17s, Duration: 0.52s, Velocity: 0.39
  Note: A5, Time: 52.17s, Duration: 0.26s, Velocity: 0.39
  Note: A4, Time: 52.43s, Duration: 0.26s, Velocity: 0.39
  Note: E3, Time: 52.70s, Duration: 0.52s, Velocity: 0.39
  Note: B4, Time: 52.70s, Duration: 0.26s, Velocity: 0.39
  Note: C#5, Time: 52.96s, Duration: 0.26s, Velocity: 0.39
  Note: A3, Time: 53.22s, Duration: 0.52s, Velocity: 0.39
  Note: D5, Time: 53.22s, Duration: 0.26s, Velocity: 0.39
